Starting procces. Date and time is 19/12/2022, 15:52:50


[19/12/2022, 15:52:51] [INFO - CLIENT]: Logged in as Oxyroid#6023
[19/12/2022, 15:52:51] [INFO - SERVER]: Server listening on port 4000
[19/12/2022, 15:52:52] [INFO - COMMANDS]: Loaded command: clear.ts
[19/12/2022, 15:52:52] [INFO - COMMANDS]: Loaded command: dump.ts
[19/12/2022, 15:52:52] [INFO - COMMANDS]: Loaded command: help.ts
[19/12/2022, 15:52:52] [INFO - COMMANDS]: Loaded command: invite.ts
[19/12/2022, 15:52:52] [INFO - COMMANDS]: Loaded command: ping.ts
[19/12/2022, 15:52:52] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[19/12/2022, 15:52:52] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[19/12/2022, 15:52:52] [INFO - BUTTONS]: Loaded button: test.ts
[19/12/2022, 15:52:53] [INFO - COMMANDS]: Successfully updated slash commands.
[19/12/2022, 15:52:53] [INFO - DB]: Connected to database
[19/12/2022, 15:54:51] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
