Starting procces. Date and time is 04/01/2023, 17:50:38


[04/01/2023, 17:50:38] [INFO - CLIENT]: Logged in as Oxyroid#6023
[04/01/2023, 17:50:38] [INFO - SERVER]: Server listening on port 4000
[04/01/2023, 17:50:39] [INFO - BUTTONS]: Loaded button: deleteMe.ts
[04/01/2023, 17:50:39] [INFO - COMMANDS]: Loaded command: clear.ts
[04/01/2023, 17:50:39] [INFO - BUTTONS]: Loaded button: helpCategory.ts
[04/01/2023, 17:50:39] [INFO - COMMANDS]: Loaded command: dump.ts
[04/01/2023, 17:50:39] [INFO - COMMANDS]: Loaded command: help.ts
[04/01/2023, 17:50:39] [INFO - COMMANDS]: Loaded command: invite.ts
[04/01/2023, 17:50:39] [INFO - COMMANDS]: Loaded command: play.ts
[04/01/2023, 17:50:39] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[04/01/2023, 17:50:39] [INFO - COMMANDS]: Loaded command: ping.ts
[04/01/2023, 17:50:39] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[04/01/2023, 17:50:39] [INFO - COMMANDS]: Loaded command: skip.ts
[04/01/2023, 17:50:40] [INFO - COMMANDS]: Successfully updated slash commands.
[04/01/2023, 17:50:40] [INFO - DB]: Connected to database
[04/01/2023, 17:52:07] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
