Starting procces. Date and time is 04/01/2023, 19:26:49


[04/01/2023, 19:26:50] [INFO - CLIENT]: Logged in as Oxyroid#6023
[04/01/2023, 19:26:50] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[04/01/2023, 19:26:50] [INFO - BUTTONS]: Loaded button: deleteMe.ts
[04/01/2023, 19:26:50] [INFO - BUTTONS]: Loaded button: helpCategory.ts
[04/01/2023, 19:26:50] [INFO - COMMANDS]: Loaded command: clear.ts
[04/01/2023, 19:26:50] [INFO - COMMANDS]: Loaded command: dump.ts
[04/01/2023, 19:26:51] [INFO - COMMANDS]: Loaded command: help.ts
[04/01/2023, 19:26:51] [INFO - COMMANDS]: Loaded command: invite.ts
[04/01/2023, 19:26:50] [INFO - SERVER]: Server listening on port 4000
[04/01/2023, 19:26:50] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[04/01/2023, 19:26:51] [INFO - COMMANDS]: Loaded command: effects.ts
[04/01/2023, 19:26:51] [INFO - COMMANDS]: Loaded command: pause.ts
[04/01/2023, 19:26:51] [INFO - COMMANDS]: Loaded command: play.ts
[04/01/2023, 19:26:51] [INFO - COMMANDS]: Loaded command: resume.ts
[04/01/2023, 19:26:51] [INFO - COMMANDS]: Loaded command: volume.ts
[04/01/2023, 19:26:51] [INFO - COMMANDS]: Loaded command: skip.ts
[04/01/2023, 19:26:51] [INFO - COMMANDS]: Loaded command: stop.ts
[04/01/2023, 19:27:15] [INFO - COMMANDS]: Successfully updated slash commands.
[04/01/2023, 19:27:15] [INFO - COMMANDS]: Loaded command: ping.ts
[04/01/2023, 19:27:16] [INFO - COMMANDS]: Successfully updated slash commands.
[04/01/2023, 19:27:16] [INFO - DB]: Connected to database
[04/01/2023, 19:27:47] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
