Starting procces. Date and time is 25/12/2022, 11:55:34


[25/12/2022, 11:55:34] [INFO - CLIENT]: Logged in as Oxyroid#6023
[25/12/2022, 11:55:36] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[25/12/2022, 11:55:35] [INFO - SERVER]: Server listening on port 4000
[25/12/2022, 11:55:36] [INFO - COMMANDS]: Loaded command: dump.ts
[25/12/2022, 11:55:36] [INFO - COMMANDS]: Loaded command: help.ts
[25/12/2022, 11:55:36] [INFO - COMMANDS]: Loaded command: invite.ts
[25/12/2022, 11:55:36] [INFO - COMMANDS]: Loaded command: ping.ts
[25/12/2022, 11:55:36] [INFO - BUTTONS]: Loaded button: test.ts
[25/12/2022, 11:55:36] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[25/12/2022, 11:55:36] [INFO - COMMANDS]: Loaded command: clear.ts
[25/12/2022, 11:55:37] [INFO - COMMANDS]: Successfully updated slash commands.
[25/12/2022, 11:55:37] [INFO - DB]: Connected to database
[25/12/2022, 11:57:09] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
